Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm)
22,8.8,8.3,3.45,1800,0.82,3050,3600,329.5
22,8.95,8.2,3.4,1775,0.8,2900,3550,331
27.4,9.75,8,2.65,8350,1.445,9150,16700,207.5
27.55,9.2,8.15,2.95,9500,1.575,9300,19000,209
27.7,9.15,8.1,2.7,8850,1.61,8150,17700,259.5
27.75,9.35,7.95,2.35,7250,1.52,6250,14500,261
24.25,8.2,8.3,2.65,1000,0.69,1050,2000,410
24.4,7.55,8.35,3.6,8750,1.07,9000,17500,430
24.25,7.85,5.35,3.35,5500,0.945,6500,11000,424
25.75,8.6,8.25,2.5,1125,0.18,1100,2250,438
25.75,7.2,8.3,3.8,15000,0.275,17000,30000,460
26.5,7.9,8.4,3.4,6250,0.23,8000,12500,447
24,7.85,8.15,3.6,4400,0,3850,8800,310
26.25,7.15,8.4,3.8,13000,0.285,14000,26000,461.5
26,8.5,8,2.1,40575,0.195,14225,81150,381
26,3.35,7.65,37.5,40087.5,4.85,27023,80175,5730
23,1.75,7.65,24,2435,10.4,2775,4870,1000
23,2.2,7.55,26.5,1537.5,6.5,760,3075,1179.5
23.5,3.05,8.05,19.2,535,5.45,460.5,1070,1035.5
28.5,6.5,7.85,11.5,40400,2.2,46110,80800,1110.5
0,8.6,7.3,1,8000,0.2,5400,16000,429
19,2.6,7.5,27.5,800,0,0,1600,579
25,5.2,7.35,4.05,0,0,0,0,348
25,1.6,6.65,38,0,0,0,0,452
21.5,4.4,7.45,8.4,0,0,0,0,382.5
21.5,1.9,7.35,33,0,0,0,0,503
25,5.6,7.6,7,0,0,0,0,395
16,7.2,7.55,1.5,0,0,0,0,220
25,4.6,7.3,7,0,0,0,0,532
25,5.5,7.6,6.8,0,0,0,0,398.5
21,5.1,7.7,7.9,0,0,0,0,212.5
25,5,7.55,9.4,0,0,0,0,377
24.5,3.9,7.05,14,0,0,0,0,491.5
24.5,5,7.45,7,0,0,0,0,430
24.5,8.15,8.3,5.15,6025,0,5800,12050,453
27.8,8.2,7.3,0,3900,0.5,2000,7800,175
28.2,8.3,7.4,0,6500,0.5,2000,13000,177
25.9,6.95,8.15,4.2,14350,1.55,12100,28700,348.5
25.9,6.7,8.1,4.4,18375,1.55,17700,36750,354
26.25,3,7.6,8.5,65250,2.2,93500,130500,394.5
26.25,2.3,7.55,8.95,140500,2.35,128500,281000,402
26.25,2.3,8.05,9.3,57500,2.85,62500,115000,518
26.25,1.9,7.55,10.1,74750,2.95,109500,149500,526.5
26.25,4.1,8.05,4.95,18500,1.35,24100,37000,393
26.25,4.45,8.05,4.3,13075,1.35,17350,26150,384.5
23.5,6.95,7.95,4.55,3825,0.85,5250,7650,384.5
23.5,7.05,7.95,4.55,3800,0.85,4950,7600,379
26.5,8.25,8.3,2.85,1200,0.2,1200,2400,408
24.5,7,7.35,5.5,13975,0,14750,27950,312
23.5,7.55,7.55,4.3,11500,0,11550,23000,293
21,9.9,7.8,3,8525,0.5,13200,17050,300
23.5,7.2,7.4,4.7,10350,0,7650,20700,1284
25.5,7.3,7.3,4.75,10575,0,9650,21150,310
25,8.7,7.75,1.9,9025,0.295,8600,18050,273
23.75,8.85,8.25,2.05,625,0.45,350,1250,244
23.75,8.55,8.3,2.65,1425,0.4,1350,2850,261
23.5,7.2,7.6,2.2,15200,0.25,9600,30400,498
19.5,7.35,7.25,2.25,3975,0.2,2650,7950,462.5
25.5,7.1,7.65,3.8,41700,0.3,15000,83400,278.5
30.5,6.75,7.6,3.65,27250,0.2,14850,54500,346
26,2.8,6.95,7,42750,0.7,11700,85500,564.5
26,3,7.2,5,41575,0.6,11350,83150,251.5
25,2.2,7.2,16.4,42750,2.15,27850,85500,690.5
25,2.55,7.2,16.3,45500,2.05,32500,91000,687.5
24.5,8.25,8,1.6,40350,0.55,11550,80700,236
28,8.5,8.15,2.1,24525,0.55,28200,49050,308
24,7.95,7.8,1.9,23675,0.25,8890,47350,401.5
24.5,4,7.4,3.7,40825,0.35,14225,81650,374.5
25.5,4.95,7.4,3.5,13850,0.25,7465,27700,438.5
27,7,7.7,2.2,11075,0.35,9350,22150,337
27.5,7.85,7.9,2,7275,0.35,5680,14550,322
26,6.7,7.8,2.05,10500,0.45,11700,21000,472.5
26,4.65,7.3,5.15,42750,0.7,14090,85500,418.5
26.5,7.6,7.5,1.2,0,0,0,0,0
26.5,9,7.7,2.75,3250,0.55,3750,6500,289.5
28,8.3,7.7,2.45,6025,0.6,6250,12050,281.5
28,9,7.85,2.45,4600,0.5,4460,9200,423.5
26,7.35,7.7,3.7,41750,0.55,11400,83500,670.5
26.5,8.6,7.9,2.55,9100,0.55,6955,18200,350.5
27.25,8.6,7.85,2.35,3425,0.55,2650,6850,353.5
27.75,9.1,7.9,2,9075,0.5,6050,18150,261
27.25,8.6,7.7,2.45,3375,0.55,2000,6750,353.5
27.5,8.4,7.9,2.55,14175,0.55,3500,28350,372.5
28.25,8.7,7.85,2.8,3825,0.5,2350,7650,355.5
27.5,4.1,7.7,3.65,229000,0.45,154500,458000,481.5
28.5,2.25,7.8,3.8,225750,0.55,150550,451500,477.5
26.75,8.35,7.95,2.8,3025,0.55,3200,6050,343
27,6.95,7.7,3.6,44250,0.3,18200,88500,448.5
27,7.15,7.7,4.2,45250,0.3,46200,90500,546
27.5,6.95,7.7,3.65,226000,0.5,251000,452000,417
28.5,6.4,7.6,2.2,10250,1.15,7200,20500,3413
27,6.5,7.4,2.55,11000,1.65,9600,22000,1217.5
21,7.15,7.55,1.65,1165,1.55,700,2330,131.5
22.5,6.7,7.3,1.3,307.5,0.8,180.9,615,151.5
24,7.55,7.3,1.75,1255,1.45,900,2510,162
25,7.35,7.7,1.8,1275,1.7,930,2550,128
26,5.9,7.75,1.4,1255,1.15,550.9,2510,136
27,7.8,7.9,1.55,1375,1.45,930,2750,124
27,7.7,7.55,1.7,700,2,515,1400,123
24.5,7.8,7.5,1.75,880,1.55,700,1760,127
29,5.75,7.6,1.55,1400,1.2,1150,2800,140.5
21.5,5,7.75,2,675.45,1.4,460.9,1350.9,131.5
23,7.55,7.6,1.6,1055,1.15,750,2110,106
