,Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (μmho/ Cm)
11,23.5,7.05,7.949999999999999,4.55,3800.0,0.8500000000000001,4950.0,7600.0,379.0
12,26.5,8.25,8.3,2.85,1200.0,0.2,1200.0,2400.0,408.0
13,24.5,7.0,7.35,5.5,13975.0,0.0,14750.0,27950.0,312.0
14,23.5,7.55,7.55,4.300000000000001,11500.0,0.0,11550.0,23000.0,293.0
15,21.0,9.9,7.800000000000001,3.0,8525.0,0.5,13200.0,17050.0,300.0
16,23.5,7.199999999999999,7.4,4.7,10350.0,0.0,7650.0,20700.0,1284.0
17,25.5,7.3,7.3,4.75,10575.0,0.0,9650.0,21150.0,310.0
18,25.0,8.7,7.75,1.9000000000000001,9025.0,0.29500000000000004,8600.0,18050.0,273.0
19,23.75,8.85,8.25,2.05,625.0,0.44999999999999996,350.0,1250.0,244.0
20,23.75,8.55,8.3,2.65,1425.0,0.4,1350.0,2850.0,261.0
2,23.5,7.2,7.6,2.2,15200.0,0.25,9600.0,30400.0,498.0
3,19.5,7.35,7.25,2.25,3975.0,0.2,2650.0,7950.0,462.5
4,25.5,7.1,7.65,3.8,41700.0,0.30000000000000004,15000.0,83400.0,278.5
5,30.5,6.75,7.6,3.65,27250.0,0.2,14850.0,54500.0,346.0
6,26.0,2.8,6.95,7.0,42750.0,0.7,11700.0,85500.0,564.5
7,26.0,3.0,7.2,5.0,41575.0,0.6,11350.0,83150.0,251.5
8,25.0,2.2,7.199999999999999,16.4,42750.0,2.15,27850.0,85500.0,690.5
9,25.0,2.55,7.2,16.3,45500.0,2.05,32500.0,91000.0,687.5
10,24.5,8.25,8.0,1.6,40350.0,0.55,11550.0,80700.0,236.0
11,28.0,8.5,8.15,2.1,24525.0,0.55,28200.0,49050.0,308.0
12,24.0,7.95,7.8,1.9,23675.0,0.25,8890.0,47350.0,401.5
13,24.5,4.0,7.4,3.7,40825.0,0.35,14225.0,81650.0,374.5
14,25.5,4.95,7.4,3.5,13850.0,0.25,7465.0,27700.0,438.5
15,27.0,7.0,7.7,2.2,11075.0,0.35,9350.0,22150.0,337.0
16,27.5,7.85,7.8999999999999995,2.0,7275.0,0.35,5680.0,14550.0,322.0
17,26.0,6.7,7.800000000000001,2.05,10500.0,0.44999999999999996,11700.0,21000.0,472.5
18,26.0,4.65,7.3,5.15,42750.0,0.7000000000000001,14090.0,85500.0,418.5
2,26.5,7.6,7.5,1.2000000000000002,0.0,0.0,0.0,0.0,0.0
3,26.5,9.0,7.7,2.75,3250.0,0.55,3750.0,6500.0,289.5
4,28.0,8.3,7.7,2.45,6025.0,0.6,6250.0,12050.0,281.5
5,28.0,9.0,7.85,2.45,4600.0,0.5,4460.0,9200.0,423.5
6,26.0,7.35,7.7,3.7,41750.0,0.55,11400.0,83500.0,670.5
7,26.5,8.6,7.9,2.55,9100.0,0.55,6955.0,18200.0,350.5
8,27.25,8.6,7.85,2.35,3425.0,0.55,2650.0,6850.0,353.5
9,27.75,9.1,7.9,2.0,9075.0,0.5,6050.0,18150.0,261.0
10,27.25,8.6,7.7,2.45,3375.0,0.55,2000.0,6750.0,353.5
11,27.5,8.4,7.9,2.55,14175.0,0.55,3500.0,28350.0,372.5
12,28.25,8.7,7.85,2.8,3825.0,0.5,2350.0,7650.0,355.5
13,27.5,4.1,7.7,3.65,229000.0,0.45,154500.0,458000.0,481.5
14,28.5,2.25,7.8,3.8,225750.0,0.55,150550.0,451500.0,477.5
15,26.75,8.350000000000001,7.95,2.8,3025.0,0.55,3200.0,6050.0,343.0
16,27.0,6.95,7.7,3.5999999999999996,44250.0,0.3,18200.0,88500.0,448.5
17,27.0,7.1499999999999995,7.699999999999999,4.2,45250.0,0.3,46200.0,90500.0,546.0
2,27.5,6.949999999999999,7.699999999999999,3.6500000000000004,226000.0,0.5,251000.0,452000.0,417.0
3,28.5,6.4,7.6,2.2,10250.0,1.1500000000000001,7200.0,20500.0,3413.0
4,27.0,6.5,7.4,2.55,11000.0,1.6500000000000001,9600.0,22000.0,1217.5
2,21.0,7.15,7.55,1.6500000000000001,1165.0,1.5499999999999998,700.0,2330.0,131.5
3,22.5,6.7,7.3,1.2999999999999998,307.5,0.8,180.9,615.0,151.5
4,24.0,7.550000000000001,7.300000000000001,1.75,1255.0,1.4500000000000002,900.0,2510.0,162.0
5,25.0,7.35,7.7,1.8,1275.0,1.7,930.0,2550.0,128.0
6,26.0,5.9,7.75,1.4,1255.0,1.15,550.9,2510.0,136.0
7,27.0,7.800000000000001,7.8999999999999995,1.5499999999999998,1375.0,1.4500000000000002,930.0,2750.0,124.0
8,27.0,7.699999999999999,7.550000000000001,1.7000000000000002,700.0,2.0,515.0,1400.0,123.0
9,24.5,7.8,7.5,1.75,880.0,1.5499999999999998,700.0,1760.0,127.0
10,29.0,5.75,7.6,1.55,1400.0,1.2,1150.0,2800.0,140.5
11,21.5,5.0,7.75,2.0,675.45,1.4,460.9,1350.9,131.5
12,23.0,7.55,7.6,1.6,1055.0,1.15,750.0,2110.0,106.0
2,25.5,6.8,7.050000000000001,1.95,950.0,1.3,900.0,1900.0,52.0
3,22.0,4.75,7.35,3.6500000000000004,2305.0,1.7,1360.0,4610.0,188.0
4,24.5,6.949999999999999,7.35,1.3499999999999999,450.0,1.75,515.0,900.0,171.0
5,24.0,6.7,7.15,1.35,600.0,1.05,605.0,1200.0,183.0
6,23.0,7.0,7.4,1.2999999999999998,425.0,1.0,330.0,850.0,125.5
7,29.5,4.449999999999999,7.15,1.95,3590.0,1.35,330.0,7180.0,31.5
