,Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),Class
51,18.0,8.4,7.7,0.0,227.5,4.45,125.5,455.0,235.5,1
52,19.0,8.5,7.7,1.0,305.0,6.35,224.5,610.0,291.0,2
53,19.0,8.1,7.8,1.3,367.5,1.2,356.5,735.0,260.0,2
54,18.0,5.2,8.0,3.5,0.0,0.0,0.0,0.0,405.0,3
55,18.0,6.45,8.25,5.1,0.0,0.65,0.0,0.0,420.0,3
56,20.5,6.8,8.15,2.75,0.0,0.2,0.0,0.0,265.0,2
57,11.0,8.5,7.6,0.2,0.0,0.0,0.0,0.0,160.0,1
58,11.0,8.7,7.65,0.15,0.0,0.0,0.0,0.0,159.0,1
59,11.0,8.8,7.5,0.2,0.0,0.0,0.0,0.0,156.5,1
60,11.0,8.1,7.75,1.0,0.0,0.0,0.0,0.0,105.5,0
61,19.0,6.4,7.35,6.85,0.0,1.15,0.0,0.0,600.0,4
62,20.5,7.1,8.05,0.95,0.0,0.0,0.0,0.0,297.0,2
63,6.15,9.05,7.75,0.8,0.0,0.0,0.0,0.0,140.0,1
64,6.25,9.0,7.7,0.9,0.0,0.0,0.0,0.0,165.0,1
65,6.0,9.05,7.5,1.05,0.0,0.0,0.0,0.0,142.5,1
66,8.4,8.9,7.9,0.85,0.0,0.0,0.0,0.0,132.0,1
67,8.75,8.8,7.7,1.1,0.0,0.0,0.0,0.0,132.5,1
68,10.7,7.85,7.95,0.85,0.0,0.0,0.0,0.0,275.0,2
69,10.75,8.0,7.9,1.1,0.0,0.0,0.0,0.0,315.5,2
70,12.65,9.05,7.65,0.95,0.0,0.0,0.0,0.0,230.5,1
71,13.05,8.3,7.55,1.35,0.0,0.0,0.0,0.0,235.0,1
72,12.7,8.75,7.5,0.85,0.0,0.0,0.0,0.0,212.0,1
73,17.95,8.15,7.9,0.55,0.0,0.1,0.0,0.0,249.5,1
74,18.1,7.9,8.1,0.75,0.0,0.1,0.0,0.0,251.5,2
75,23.0,6.1,8.1,6.9,0.0,0.45,0.0,0.0,629.0,4
76,22.0,7.05,8.2,1.8,0.0,0.3,0.0,0.0,263.0,2
77,20.5,4.3,8.35,4.7,0.0,0.3,0.0,0.0,462.5,3
78,20.5,7.8,8.4,1.3,0.0,0.55,0.0,0.0,245.5,1
79,21.0,7.25,8.3,1.15,0.0,0.2,0.0,0.0,271.0,2
80,19.8,4.4,7.8,36.8,411.75,2.2,468.5,823.5,875.0,4
81,21.0,8.35,7.8,1.4,630.0,5.6,399.0,1260.0,338.0,2
82,15.0,6.95,7.8,0.2,27.95,0.75,3.4,55.9,331.5,2
83,15.0,6.95,7.7,0.25,35.45,0.9,30.9,70.9,920.5,4
84,16.25,7.0,7.65,0.2,30.45,0.85,3.9,60.9,323.5,2
85,16.0,6.7,7.55,0.2,32.95,0.6,3.95,65.9,333.5,2
86,15.5,6.9,7.6,0.2,35.45,0.55,3.9,70.9,354.0,2
87,16.25,6.85,7.6,0.2,37.95,0.6,3.95,75.9,300.5,2
88,17.5,7.05,7.95,0.3,56.0,0.85,4.0,112.0,496.0,3
89,15.0,6.85,8.05,0.3,45.45,0.85,30.65,90.9,2425.5,4
90,12.5,9.2,7.85,0.7,405.25,1.2,9.0,810.5,2371.0,4
91,12.5,9.05,7.9,1.25,94.0,1.25,13.9,188.0,2933.5,4
92,12.0,8.85,7.9,2.45,141.5,1.45,20.5,283.0,4049.0,4
93,13.5,9.3,7.8,0.65,415.75,1.35,22.5,831.5,516.5,4
